Zone,Time,Station,Temp
MTZ138,2021-08-02 17:29:00,HBOM8,31.66702
MTZ138,2021-08-02 17:18:00,PMRM8,25.556
MTZ138,2021-08-02 17:18:00,WWMM8,30
MTZ138,2021-08-02 16:59:00,LBHM8,31.111
MTZ138,2021-08-02 16:53:00,KSHR,28.3
MTZ138,2021-08-02 16:48:00,BRTM8,22.222
MTZ138,2021-08-02 16:29:00,HBOM8,30
MTZ138,2021-08-02 16:18:00,PMRM8,25.556
MTZ138,2021-08-02 16:18:00,WWMM8,29.444
MTZ138,2021-08-02 15:59:00,LBHM8,28.333
MTZ138,2021-08-02 15:53:00,KSHR,25
MTZ138,2021-08-02 15:48:00,BRTM8,20
MTZ138,2021-08-02 15:29:00,HBOM8,28.889
MTZ138,2021-08-02 15:18:00,PMRM8,24.444
MTZ138,2021-08-02 15:18:00,WWMM8,27.778
MTZ138,2021-08-02 14:59:00,LBHM8,24.444
MTZ138,2021-08-02 14:53:00,KSHR,20
MTZ138,2021-08-02 14:48:00,BRTM8,17.778
MTZ138,2021-08-02 14:29:00,HBOM8,24.444
MTZ138,2021-08-02 14:18:00,PMRM8,23.889
MTZ138,2021-08-02 14:18:00,WWMM8,25
MTZ138,2021-08-02 13:59:00,LBHM8,20.556
MTZ138,2021-08-02 13:53:00,KSHR,17.8
MTZ138,2021-08-02 13:48:00,BRTM8,15
MTZ138,2021-08-02 13:29:00,HBOM8,21.111
MTZ138,2021-08-02 13:18:00,PMRM8,21.111
MTZ138,2021-08-02 13:18:00,WWMM8,20
MTZ138,2021-08-02 12:59:00,LBHM8,17.222
MTZ138,2021-08-02 12:53:00,KSHR,13.9
MTZ138,2021-08-02 12:48:00,BRTM8,14.444
MTZ138,2021-08-02 12:29:00,HBOM8,20
MTZ138,2021-08-02 12:18:00,PMRM8,20
MTZ138,2021-08-02 12:18:00,WWMM8,18.889
MTZ138,2021-08-02 11:59:00,LBHM8,17.778
MTZ138,2021-08-02 11:53:00,KSHR,12.8
MTZ138,2021-08-02 11:48:00,BRTM8,13.889
MTZ138,2021-08-02 11:29:00,HBOM8,19.444
MTZ138,2021-08-02 11:18:00,PMRM8,20.556
MTZ138,2021-08-02 11:18:00,WWMM8,18.333
MTZ138,2021-08-02 10:59:00,LBHM8,19.444
MTZ138,2021-08-02 10:53:00,KSHR,15
MTZ138,2021-08-02 10:48:00,BRTM8,13.889
MTZ138,2021-08-02 10:29:00,HBOM8,20
MTZ138,2021-08-02 10:18:00,PMRM8,20.556
MTZ138,2021-08-02 10:18:00,WWMM8,19.444
MTZ138,2021-08-02 09:59:00,LBHM8,20.556
MTZ138,2021-08-02 09:53:00,KSHR,16.1
MTZ138,2021-08-02 09:48:00,BRTM8,14.444
MTZ138,2021-08-02 09:29:00,HBOM8,19.444
MTZ138,2021-08-02 09:18:00,PMRM8,20
MTZ138,2021-08-02 09:18:00,WWMM8,18.333
MTZ138,2021-08-02 08:48:00,BRTM8,15
MTZ138,2021-08-02 08:18:00,PMRM8,20.556
MTZ138,2021-08-02 08:18:00,WWMM8,19.444
MTZ138,2021-08-02 07:18:00,WWMM8,21.111
MTZ138,2021-08-02 06:59:00,LBHM8,22.222
MTZ138,2021-08-02 06:53:00,KSHR,18.3
MTZ138,2021-08-02 06:48:00,BRTM8,16.111
MTZ138,2021-08-02 06:18:00,PMRM8,22.222
MTZ138,2021-08-02 05:29:00,HBOM8,24.444
MTZ138,2021-08-02 04:53:00,KSHR,21.7
MTZ138,2021-08-02 04:29:00,HBOM8,26.111
MTZ138,2021-08-02 04:18:00,PMRM8,21.66702
MTZ138,2021-08-02 04:18:00,WWMM8,23.333
